synset,conditions,system
sink.n.01,toggled_on:True,water.n.06
water__dispenser.n.01,toggled_on:True,water.n.06
soap_dispenser.n.01,toggled_on:True,liquid_soap.n.01
squeeze_bottle.n.01,toggled_on:True,water.n.06
watering_can.n.01,toggled_on:True;gravity:True,water.n.06
barbecue_sauce__bottle.n.01,toggled_on:True,barbecue_sauce.n.01
catsup__bottle.n.01,toggled_on:True,catsup.n.01
chocolate_sauce__bottle.n.01,toggled_on:True,chocolate_sauce.n.01
glaze__bottle.n.01,toggled_on:True,glaze.n.01
hot_sauce__bottle.n.01,toggled_on:True,hot_sauce.n.01
mustard__bottle.n.01,toggled_on:True,mustard.n.02
salsa__bottle.n.01,toggled_on:True,salsa.n.01
soy_sauce__bottle.n.01,toggled_on:True,soy_sauce.n.01
sugar_syrup__bottle.n.01,toggled_on:True,sugar_syrup.n.01
vanilla__bottle.n.01,toggled_on:True,vanilla.n.02
white_sauce__bottle.n.01,toggled_on:True,cheese_sauce.n.01
wine_sauce__bottle.n.01,toggled_on:True,wine_sauce.n.01
