rule_name,prune,input_synsets,input_states,machine,output_synsets,output_states
drip_coffee_0,0,coffee_bean.n.01_(i) and water.n.06_(j),,coffee_maker.n.01_(k),drip_coffee.n.01_(l),
iced_cappuccino,0,espresso.n.01_(j) and cane_sugar.n.02_(k) and chocolate_milk.n.01_(l) and ice_cube.n.01_(m) and ice_cube.n.01_(n) and ice_cube.n.01_(o),,blender.n.01_(p),iced_cappuccino.n.01_(q),
coffeemaker_espresso,0,water.n.06_(i) and instant_coffee.n.01_(j),,coffee_maker.n.01_(k),espresso.n.01_(m),
pastry_dough,0,water.n.06_(i) and butter.n.01_(j) and flour.n.01_(k) and salt.n.02_(l),,food_processor.n.01_(m),pastry.n.01_(n),not cooked pastry.n.01_(n)
milkshake_0,0,drip_coffee.n.01_(j) and cane_sugar.n.02_(k) and ice_cube.n.01_(l) and ice_cube.n.01_(m) and ice_cube.n.01_(n) and ice_cube.n.01_(o) and scoop_of_ice_cream.n.01_(p),,blender.n.01_(q),milkshake.n.01_(r),
milkshake_1,0,whole_milk.n.01_(i) and chocolate_sauce.n.01_(j) and scoop_of_ice_cream.n.01_(k),,blender.n.01_(l),milkshake.n.01_(m),
smoothie_0,0,strawberry.n.01_(i) and strawberry.n.01_(j) and strawberry.n.01_(k) and ice_cube.n.01_(l) and ice_cube.n.01_(m) and ice_cube.n.01_(n) and ice_cube.n.01_(o) and lemon_juice.n.01_(p),,blender.n.01_(q),smoothie.n.02_(r),
chocolate_milk,0,granulated_sugar.n.01_(i) and cocoa_powder.n.01_(j) and low-fat_milk.n.01_(k),,blender.n.01_(l),chocolate_milk.n.01_(m),
chocolate_spread,0,butter.n.01_(i) and honey.n.01_(j) and cocoa_powder.n.01_(k),,food_processor.n.01_(l),chocolate_sauce.n.01_(m),
drip_coffee_1,0,coffee_bean.n.01_(i) and water.n.06_(j),,coffee_maker.n.01_(k),drip_coffee.n.01_(l),
eggnog,0,granulated_sugar.n.01_(i) and nutmeg.n.02_(j) and cinnamon.n.03_(k) and vanilla.n.02_(l) and rum.n.01_(m) and whole_milk.n.01_(n) and raw_egg.n.01_(o),,blender.n.01_(p),eggnog.n.01_(q),
fruit_punch_0,0,diced__lemon.n.01_(i) and diced__strawberry.n.01_(j) and diced__orange.n.01_(k) and diced__apple.n.01_(l),,blender.n.01_(m),fruit_punch.n.01_(n),
gazpacho,1,basil.n.03_(i) and salt.n.02_(j) and black_pepper.n.02_(k) and tomato_juice.n.01_(l) and cucumber.n.02_(m) and water.n.06_(n) and lemon_juice.n.01_(o),,blender.n.01_(p),gazpacho.n.01_(q),
iced_chocolate,0,ice_cube.n.01_(i) and ice_cube.n.01_(j) and cocoa_powder.n.01_(k) and whole_milk.n.01_(l) and granulated_sugar.n.01_(m) and vanilla.n.02_(n),,blender.n.01_(o),iced_chocolate.n.01_(p),
jerk_seasoning,0,brown_sugar.n.01_(i) and chili.n.02_(j) and cayenne.n.02_(k) and clove.n.03_(l) and clove.n.03_(m),,blender.n.01_(n),jerk_seasoning.n.01_(o),
lemon_pepper_seasoning,0,black_pepper.n.02_(i) and lemon_peel.n.01_(j) and salt.n.02_(k) and lemon_juice.n.01_(l),,blender.n.01_(m),lemon-pepper_seasoning.n.01_(n),
mustard_seasoning,0,mustard_seed.n.01_(i) and sage.n.02_(j) and cumin.n.02_(k) and clove.n.03_(l) and clove.n.03_(m) and rosemary.n.02_(n) and salt.n.02_(o),,blender.n.01_(p),mustard_seasoning.n.01_(q),
smoothie_1,0,raspberry.n.02_(i) and raspberry.n.02_(j) and raspberry.n.02_(k) and raspberry.n.02_(l) and raspberry.n.02_(m) and raspberry.n.02_(n) and strawberry.n.01_(o) and strawberry.n.01_(p) and strawberry.n.01_(q) and strawberry.n.01_(r) and lemon_juice.n.01_(s) and yogurt.n.01_(t) and honey.n.01_(u),,blender.n.01_(v),smoothie.n.02_(w),
tomato_rice,0,white_rice.n.01_(i) and diced__beefsteak_tomato.n.01_(j) and diced__vidalia_onion.n.01_(k) and olive_oil.n.01_(l) and chicken_broth.n.01_(m),,crock_pot.n.01_(n),tomato_rice.n.01_(o),
waffle,0,waffle_batter.n.01_(i),,waffle_iron.n.01_(j),waffle.n.01_(k),cooked waffle.n.01_(k) and hot waffle.n.01_(k)
fruit_punch_1,0,diced__watermelon.n.01_(i) and lemonade.n.01_(j) and lemon_juice.n.01_(k) and tonic.n.01_(l),,blender.n.01_(m),fruit_punch.n.01_(n),
sugar_syrup,0,granulated_sugar.n.01_(i) and water.n.06_(j) and mint.n.04_(k),,blender.n.01_(l),sugar_syrup.n.01_(m),
sugar_cookie_dough,0,flour.n.01_(i) and granulated_sugar.n.01_(j) and raw_egg.n.01_(k) and raw_egg.n.01_(l) and vanilla.n.02_(m) and melted__butter.n.01_(n) and baking_powder.n.01_(o) and salt.n.02_(p),not cooked raw_egg.n.01_(k) and not cooked raw_egg.n.01_(l),electric_mixer.n.01_(z),sugar_cookie_dough.n.01_(s),not cooked sugar_cookie_dough.n.01_(s)
cheese_pastry_filling,0,raw_egg.n.01_(i) and cane_sugar.n.02_(j) and lemon_juice.n.01_(k) and vanilla.n.02_(l) and cream_cheese.n.01_(m) and salt.n.02_(n),not cooked raw_egg.n.01_(i),electric_mixer.n.01_(z),cheese_pastry_filling.n.01_(q),
sugar_coffee_scrub,0,ground_coffee.n.01_(i) and brown_sugar.n.01_(j) and coconut_oil.n.01_(k),,electric_mixer.n.01_(z),sugar_coffee_scrub.n.01_(n),
bagel_dough,0,flour.n.01_(i) and salt.n.02_(j) and honey.n.01_(k) and yeast.n.01_(l) and water.n.06_(m),,electric_mixer.n.01_(z),bagel_dough.n.01_(p),not cooked bagel_dough.n.01_(p)
pancake_batter,0,flour.n.01_(i) and baking_powder.n.01_(j) and salt.n.02_(k) and whole_milk.n.01_(l) and water.n.06_(m),,electric_mixer.n.01_(z),pancake_batter.n.01_(p),
biscuit_dough,0,flour.n.01_(i) and baking_powder.n.01_(j) and salt.n.02_(k) and shortening.n.01_(l) and whole_milk.n.01_(m),,electric_mixer.n.01_(z),biscuit_dough.n.01_(p),not cooked biscuit_dough.n.01_(p)
blueberry_mousse,0,blueberry_compote.n.01_(i) and gelatin.n.02_(j) and raw_egg.n.01_(k) and cream_of_tartar.n.01_(l) and granulated_sugar.n.01_(m) and whipped_cream.n.01_(n),not cooked raw_egg.n.01_(k),electric_mixer.n.01_(z),blueberry_mousse.n.01_(q),
brownie_batter,0,butter.n.01_(i) and granulated_sugar.n.01_(j) and cocoa_powder.n.01_(k) and vanilla.n.02_(l) and raw_egg.n.01_(m) and flour.n.01_(n) and salt.n.02_(o) and walnut.n.01_(p) and walnut.n.01_(q) and walnut.n.01_(r) and walnut.n.01_(s) and walnut.n.01_(t) and walnut.n.01_(u) and walnut.n.01_(v),not cooked raw_egg.n.01_(m),electric_mixer.n.01_(z),brownie_batter.n.01_(y),
cherry_filling,0,cherry.n.03_(i) and cherry.n.03_(j) and cherry.n.03_(k) and cherry.n.03_(l) and cherry.n.03_(m) and cherry.n.03_(n) and cherry.n.03_(o) and cherry.n.03_(p) and cherry.n.03_(q) and cherry.n.03_(r) and cherry.n.03_(s) and cherry.n.03_(t) and cherry.n.03_(u) and cherry.n.03_(v) and cherry.n.03_(w) and cherry.n.03_(x) and granulated_sugar.n.01_(y) and cornstarch.n.01_(z) and lemon_juice.n.01_(a) and water.n.06_(b),,electric_mixer.n.01_(z),cherry_filling.n.01_(e),
chocolate_cookie_dough,0,flour.n.01_(i) and melted__butter.n.01_(j) and granulated_sugar.n.01_(k) and raw_egg.n.01_(l) and raw_egg.n.01_(m) and cocoa_powder.n.01_(n) and chocolate_bar.n.01_(o),,electric_mixer.n.01_(z),chocolate_cookie_dough.n.01_(r),not cooked chocolate_cookie_dough.n.01_(r)
spice_cookie_dough,0,flour.n.01_(i) and granulated_sugar.n.01_(j) and raw_egg.n.01_(k) and raw_egg.n.01_(l) and vanilla.n.02_(m) and butter.n.01_(n) and baking_powder.n.01_(o) and cinnamon.n.03_(p) and nutmeg.n.02_(q) and salt.n.02_(r),,electric_mixer.n.01_(z),spice_cookie_dough.n.01_(u),not cooked spice_cookie_dough.n.01_(u)
heavy_cream,0,whole_milk.n.01_(i) and melted__butter.n.01_(j),,electric_mixer.n.01_(z),heavy_cream.n.01_(m),
edible_cookie_dough,0,cooked__flour.n.01_(i) and melted__butter.n.01_(j) and granulated_sugar.n.01_(k) and brown_sugar.n.01_(l) and salt.n.02_(m) and vanilla.n.02_(n) and jimmies.n.01_(o),,electric_mixer.n.01_(z),edible_cookie_dough.n.01_(r),not cooked edible_cookie_dough.n.01_(r)
muffin_batter,0,flour.n.01_(i) and baking_powder.n.01_(j) and salt.n.02_(k) and raw_egg.n.01_(l) and granulated_sugar.n.01_(m) and whole_milk.n.01_(n) and cooking_oil.n.01_(o),not cooked raw_egg.n.01_(l),electric_mixer.n.01_(z),muffin_batter.n.01_(r),
onion_ring_batter,0,flour.n.01_(i) and whole_milk.n.01_(j) and raw_egg.n.01_(k) and cooking_oil.n.01_(l) and salt.n.02_(m) and onion_powder.n.01_(n),not cooked raw_egg.n.01_(k),electric_mixer.n.01_(z),onion_ring_batter.n.01_(p),
pizza_dough,0,water.n.06_(i) and yeast.n.01_(j) and granulated_sugar.n.01_(k) and flour.n.01_(l) and olive_oil.n.01_(m) and salt.n.02_(n),,electric_mixer.n.01_(z),pizza_dough.n.01_(q),not cooked pizza_dough.n.01_(q)
roll_dough,0,whole_milk.n.01_(i) and yeast.n.01_(j) and granulated_sugar.n.01_(k) and flour.n.01_(l) and butter.n.01_(m) and salt.n.02_(n),,electric_mixer.n.01_(z),roll_dough.n.01_(q),not cooked roll_dough.n.01_(q)
waffle_batter,0,flour.n.01_(i) and granulated_sugar.n.01_(j) and raw_egg.n.01_(k) and raw_egg.n.01_(l) and vanilla.n.02_(m) and melted__butter.n.01_(n) and yogurt.n.01_(o) and salt.n.02_(p) and whole_milk.n.01_(q),not cooked raw_egg.n.01_(k) and not cooked raw_egg.n.01_(l),electric_mixer.n.01_(z),waffle_batter.n.01_(s),
